system:index,NDVI,Date
0_20181215T143749_20181215T144702_T18HYF,0.46431164320339635,2018-12-15
0_20181215T143749_20181215T144702_T19HBA,0.47019280126524066,2018-12-15
0_20181220T143741_20181220T144648_T18HYF,0.40144578313253015,2018-12-20
0_20181225T143749_20181225T144653_T19HBA,0.38751147842056943,2018-12-25
0_20181230T143751_20181230T144650_T18HYF,0.3747083527764815,2018-12-30
0_20181230T143751_20181230T144650_T19HBA,0.3662593050604981,2018-12-30
0_20190104T143749_20190104T144651_T18HYF,0.3616450603486812,2019-01-04
0_20190104T143749_20190104T144651_T19HBA,0.36253968253968255,2019-01-04
0_20190119T143751_20190119T144606_T19HBA,0.32470892626131953,2019-01-19
0_20190129T143751_20190129T144524_T19HBA,0.2886946155374528,2019-01-29
0_20190203T143749_20190203T144957_T19HBA,0.28019010585439624,2019-02-03
0_20190218T143751_20190218T144454_T19HBA,0.29198448536100124,2019-02-18
0_20190223T143749_20190223T144359_T18HYF,0.3118630248675091,2019-02-23
0_20190310T143751_20190310T144453_T18HYF,0.2744030163385002,2019-03-10
0_20190310T143751_20190310T144453_T19HBA,0.27841007970484843,2019-03-10
0_20190315T143749_20190315T144907_T18HYF,0.299408551364519,2019-03-15
0_20190315T143749_20190315T144907_T19HBA,0.29514019822814397,2019-03-15
0_20190320T143751_20190320T144726_T19HBA,0.3030883919062833,2019-03-20
0_20190325T143749_20190325T144125_T18HYF,0.303156146179402,2019-03-25
0_20190325T143749_20190325T144125_T19HBA,0.301443574773283,2019-03-25
0_20190404T143759_20190404T144906_T18HYF,0.3347248495224031,2019-04-04
0_20190414T143759_20190414T144503_T18HYF,0.3512658227848101,2019-04-14
0_20190802T143759_20190802T144505_T18HYF,0.8538911771081725,2019-08-02
0_20190807T143751_20190807T144709_T18HYF,0.855804191112683,2019-08-07
0_20190901T143759_20190901T144153_T18HYF,0.874705824640311,2019-09-01
0_20190916T143751_20190916T144705_T18HYF,0.8717450446949088,2019-09-16
0_20190921T143749_20190921T145027_T18HYF,0.8541839270919636,2019-09-21
0_20190921T143749_20190921T145027_T19HBA,0.8551954264143181,2019-09-21
0_20191021T143749_20191021T144706_T19HBA,0.833067212018357,2019-10-21
0_20191105T143731_20191105T144501_T18HYF,0.717144156434743,2019-11-05
0_20191105T143731_20191105T144501_T19HBA,0.7241217798594848,2019-11-05
0_20191110T143729_20191110T144457_T18HYF,0.6893886156008434,2019-11-10
0_20191110T143729_20191110T144457_T19HBA,0.6922577830007486,2019-11-10
0_20191120T143729_20191120T144459_T19HBA,0.535678391959799,2019-11-20
0_20191130T143719_20191130T144540_T18HYF,0.4836570345807674,2019-11-30
0_20191130T143719_20191130T144540_T19HBA,0.4745529573590097,2019-11-30
0_20191205T143721_20191205T144632_T18HYF,0.4049955396966994,2019-12-05
0_20191205T143721_20191205T144632_T19HBA,0.4150341685649203,2019-12-05
0_20191220T143719_20191220T144615_T18HYF,0.37398720682302766,2019-12-20
0_20191220T143719_20191220T144615_T19HBA,0.3562885103298296,2019-12-20
0_20191225T143721_20191225T144651_T18HYF,0.37775934321556376,2019-12-25
0_20191225T143721_20191225T144651_T19HBA,0.3717056715159182,2019-12-25
0_20191230T143719_20191230T144612_T18HYF,0.33718861209964407,2019-12-30
0_20191230T143719_20191230T144612_T19HBA,0.33599999999999997,2019-12-30
0_20200104T143721_20200104T144629_T18HYF,0.3389717548364143,2020-01-04
0_20200104T143721_20200104T144629_T19HBA,0.33485582717459667,2020-01-04
0_20200109T143719_20200109T144550_T18HYF,0.3427050758602581,2020-01-09
0_20200109T143719_20200109T144550_T19HBA,0.3463435556508685,2020-01-09
0_20200114T143701_20200114T144621_T18HYF,0.3328251576839147,2020-01-14
0_20200114T143701_20200114T144621_T19HBA,0.3418143899895725,2020-01-14
0_20200124T143651_20200124T144544_T18HYF,0.3212330903660907,2020-01-24
0_20200124T143651_20200124T144544_T19HBA,0.3265517349392804,2020-01-24
0_20200129T143659_20200129T144449_T18HYF,0.31457370852582944,2020-01-29
0_20200129T143659_20200129T144449_T19HBA,0.3178067256886912,2020-01-29
0_20200203T143651_20200203T144453_T18HYF,0.2887666105971404,2020-02-03
