system:index,NDVI,Date
0_20181215T143749_20181215T144702_T19HBA,0.4073372781065089,2018-12-15
0_20181225T143749_20181225T144653_T19HBA,0.46086956521739125,2018-12-25
0_20181230T143751_20181230T144650_T19HBA,0.5078804987061868,2018-12-30
0_20190104T143749_20190104T144651_T19HBA,0.49741176470588233,2019-01-04
0_20190119T143751_20190119T144606_T19HBA,0.5318246110325319,2019-01-19
0_20190129T143751_20190129T144524_T19HBA,0.48670346211741095,2019-01-29
0_20190203T143749_20190203T144957_T19HBA,0.4820070957932083,2019-02-03
0_20190218T143751_20190218T144454_T19HBA,0.48029355803207385,2019-02-18
0_20190310T143751_20190310T144453_T19HBA,0.4310984308131241,2019-03-10
0_20190315T143749_20190315T144907_T19HBA,0.4667049368541907,2019-03-15
0_20190320T143751_20190320T144726_T19HBA,0.45892661555312164,2019-03-20
0_20190325T143749_20190325T144125_T19HBA,0.4197601370645346,2019-03-25
0_20190921T143749_20190921T145027_T19HBA,0.26525998492840996,2019-09-21
0_20191021T143749_20191021T144706_T19HBA,0.19668737060041408,2019-10-21
0_20191105T143731_20191105T144501_T19HBA,0.2744579587519831,2019-11-05
0_20191110T143729_20191110T144457_T19HBA,0.35515282661617525,2019-11-10
0_20191120T143729_20191120T144459_T19HBA,0.588132635253054,2019-11-20
0_20191130T143719_20191130T144540_T19HBA,0.6550156294401819,2019-11-30
0_20191205T143721_20191205T144632_T19HBA,0.7098501070663811,2019-12-05
0_20191220T143719_20191220T144615_T19HBA,0.8868705449528627,2019-12-20
0_20191225T143721_20191225T144651_T19HBA,0.8988814317673378,2019-12-25
0_20191230T143719_20191230T144612_T19HBA,0.9057301293900186,2019-12-30
0_20200104T143721_20200104T144629_T19HBA,0.8896982310093652,2020-01-04
0_20200109T143719_20200109T144550_T19HBA,0.8946063236205827,2020-01-09
0_20200114T143701_20200114T144621_T19HBA,0.8932561026065371,2020-01-14
0_20200124T143651_20200124T144544_T19HBA,0.8524379811804961,2020-01-24
0_20200129T143659_20200129T144449_T19HBA,0.8690744920993226,2020-01-29
0_20200203T143651_20200203T144453_T19HBA,0.8562123039806997,2020-02-03
0_20200208T143659_20200208T144451_T19HBA,0.8403800475059382,2020-02-08
0_20200213T143721_20200213T144451_T19HBA,0.8305084745762713,2020-02-13
0_20200218T143659_20200218T144453_T19HBA,0.7945071113290829,2020-02-18
0_20200223T143721_20200223T144452_T19HBA,0.7447462839569451,2020-02-23
0_20200228T143729_20200228T144346_T19HBA,0.625,2020-02-28
0_20200304T143721_20200304T144453_T19HBA,0.5163247616295868,2020-03-04
0_20200309T143729_20200309T144430_T19HBA,0.433055733504164,2020-03-09
0_20200319T143729_20200319T145226_T19HBA,0.43846986647419706,2020-03-19
0_20200408T143729_20200408T145124_T19HBA,0.40614960991280413,2020-04-08
0_20200413T143731_20200413T145116_T19HBA,0.3855482566953007,2020-04-13
0_20200811T143731_20200811T145224_T19HBA,0.2927789934354486,2020-08-11
0_20200821T143731_20200821T144847_T19HBA,0.2924747866563227,2020-08-21
0_20200831T143731_20200831T144825_T19HBA,0.31405622489959834,2020-08-31
0_20200920T143731_20200920T145205_T19HBA,0.38580360426627436,2020-09-20
0_20201005T143729_20201005T144602_T19HBA,0.4462962962962963,2020-10-05
0_20201010T143731_20201010T144131_T19HBA,0.47053320860617404,2020-10-10
0_20201015T143729_20201015T144515_T19HBA,0.46788990825688087,2020-10-15
0_20201020T143731_20201020T144304_T19HBA,0.5042359585817384,2020-10-20
0_20201030T143731_20201030T144423_T19HBA,0.5414483821263482,2020-10-30
0_20201109T143731_20201109T144520_T19HBA,0.5713009824352486,2020-11-09
0_20201124T143729_20201124T144632_T19HBA,0.590331577316393,2020-11-24
0_20201129T143731_20201129T144635_T19HBA,0.5980803839232154,2020-11-29
0_20201204T143729_20201204T144651_T19HBA,0.5930942895086321,2020-12-04
0_20201209T143721_20201209T144639_T19HBA,0.6011544011544011,2020-12-09
0_20201224T143729_20201224T144624_T19HBA,0.5764705882352941,2020-12-24
0_20201229T143731_20201229T144704_T19HBA,0.580821131208728,2020-12-29
0_20210103T143729_20210103T144608_T19HBA,0.5713880215725233,2021-01-03
0_20210113T143729_20210113T144551_T19HBA,0.5588402501421262,2021-01-13
0_20210118T143731_20210118T144622_T19HBA,0.5486478085172521,2021-01-18
